"Município","ibge","latitude","longitude","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2010 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2011 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2012 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2013 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2014 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2015 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2016 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2017 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2018 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2019 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2020 (-)"
"Bossoroca","4302501","-28.72909999999","-54.90350000000","...","...","...","...","...","...","...","...","...","...","..."
"Bozano","4302584","-28.36746000000","-53.77223999999","...","...","...","...","...","...","...","...","...","...","..."
"Braga","4302600","-27.6173","-53.74049999999","...","...","...","...","...","...","...","...","...","...","..."
"Brochier","4302659","-29.5501","-51.59449999999","...","...","...","...","...","...","...","...","...","...","..."
"Butiá","4302709","-30.11789999999","-51.96009999999","...","...","...","...","...","...","...","...","...","...","..."
"Caçapava do Sul","4302808","-30.51439999999","-53.48270000000","84","35","21","14","43","19","34","26","30","28","18"
"Cacequi","4302907","-29.88830000000","-54.82200000000","...","...","...","...","...","...","...","...","...","...","..."
"Cachoeira do Sul","4303004","-30.03300000000","-52.89280000000","113","182","129","138","100","103","77","105","160","229","210"
"Cachoeirinha","4303103","-29.94719999999","-51.10159999999","63","164","51","124","221","196","173","233","302","231","198"
"Cacique Doble","4303202","-27.76699999999","-51.65970000000","...","...","...","...","...","...","...","...","...","...","..."
"Caibaté","4303301","-28.29050000000","-54.64540000000","...","...","...","...","...","...","...","...","...","...","..."
"Caiçara","4303400","-27.2791","-53.42569999999","...","...","...","...","...","...","...","...","...","...","..."
"Camaquã","4303509","-30.8489","-51.80429999999","31","16","12","10","14","23","26","17","25","8","6"
"Camargo","4303558","-28.58800000000","-52.20029999999","...","...","...","...","...","...","...","...","...","...","..."
"Cambará do Sul","4303608","-29.0474","-50.14650000000","...","...","...","...","...","...","...","...","...","...","..."
"Campestre da Serra","4303673","-28.7926","-51.09409999999","...","...","...","...","...","...","...","...","...","...","..."
"Campina das Missões","4303707","-27.98880000000","-54.84170000000","...","...","...","...","...","...","...","...","...","...","..."
"Campinas do Sul","4303806","-27.71740000000","-52.6248","...","...","...","...","...","...","...","...","...","...","..."
"Campo Bom","4303905","-29.67470000000","-51.06060000000","...","...","...","...","...","...","...","...","0","0","0"
"Campo Novo","4304002","-27.67920000000","-53.80519999999","...","...","...","...","...","...","...","...","...","...","..."
"Campos Borges","4304101","-28.8871","-53.00079999999","...","...","...","...","...","...","...","...","...","...","..."
"Candelária","4304200","-29.66839999999","-52.78949999999","...","...","...","...","...","...","...","...","...","...","..."
"Cândido Godói","4304309","-27.95149999999","-54.7517","...","...","...","...","...","...","...","...","...","...","..."
"Candiota","4304358","-31.55150000000","-53.67730000000","...","...","...","...","...","...","...","...","...","...","..."
"Canela","4304408","-29.35600000000","-50.81190000000","87","129","94","90","79","69","78","35","73","64","45"
"Canguçu","4304507","-31.39600000000","-52.67819999999","...","...","...","...","...","...","...","...","...","...","..."
"Canoas","4304606","-29.91280000000","-51.18569999999","2.045","2.448","1.685","1.577","1.470","1.569","1.469","1.420","1.608","1.618","1.765"
"Canudos do Vale","4304614","-29.3187","-52.23449999999","...","...","...","...","...","...","...","...","...","...","..."
"Capão Bonito do Sul","4304622","-29.76419999999","-50.02819999999","...","...","...","...","...","...","...","...","...","...","..."
"Capão da Canoa","4304630","-29.63970000000","-49.95989999999","38","22","42","29","31","42","22","41","33","30","29"
"Capão do Cipó","4304655","-28.904","-54.70000000000","...","...","...","...","...","...","...","...","...","...","..."
"Capão do Leão","4304663","-31.75649999999","-52.48890000000","172","177","167","190","184","232","199","214","302","235","153"
"Capela de Santana","4304689","-29.69610000000","-51.32800000000","...","...","...","...","...","...","...","...","...","...","..."
"Capitão","4304697","-29.26739999999","-51.98530000000","...","...","...","...","...","...","...","...","...","...","..."
"Capivari do Sul","4304671","-30.13820000000","-50.51509999999","...","...","...","...","...","...","...","...","...","...","..."
"Caraá","4304713","-29.78689999999","-50.43160000000","...","...","...","...","...","...","...","...","...","...","..."
"Carazinho","4304705","-28.2958","-52.79330000000","271","347","313","276","251","221","217","193","265","266","269"
"Carlos Barbosa","4304804","-29.29690000000","-51.50289999999","...","...","...","...","...","...","...","...","...","...","..."
"Carlos Gomes","4304853","-27.71669999999","-51.91210000000","...","...","...","...","...","...","...","...","...","...","..."
"Casca","4304903","-28.56050000000","-51.98149999999","113","88","83","74","99","84","79","96","83","73","70"
"Caseiros","4304952","-28.25819999999","-51.68610000000","...","...","...","...","...","...","...","...","...","...","..."
"Catuípe","4305009","-28.25540000000","-54.01319999999","...","...","...","...","...","...","...","...","...","...","..."
"Caxias do Sul","4305108","-29.1629","-51.17920000000","1.643","1.967","1.790","2.178","2.178","2.629","2.264","2.169","2.037","2.497","2.114"
"Centenário","4305116","-27.76160000000","-51.99839999999","...","...","...","...","...","...","...","...","...","...","..."
"Cerrito","4305124","-31.84189999999","-52.80040000000","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Branco","4305132","-29.657","-52.94060000000","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Grande","4305157","-27.61060000000","-53.16720000000","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Grande do Sul","4305173","-30.59049999999","-51.74179999999","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Largo","4305207","-28.1462","-54.74280000000","0","0","17","10","59","94","107","138","127","125","106"
"Chapada","4305306","-28.05590000000","-53.06649999999","...","...","...","...","...","...","...","...","...","...","..."
"Charqueadas","4305355","-29.96250000000","-51.62890000000","...","0","0","0","2","2","0","4","1","2","1"
"Charrua","4305371","-27.94930000000","-52.01500000000","...","...","...","...","...","...","...","...","...","...","..."
"Chiapetta","4305405","-27.92299999999","-53.94189999999","...","...","...","...","...","...","...","...","...","...","..."
"Chuí","4305439","-33.68659999999","-53.45940000000","...","...","...","...","...","...","...","...","...","...","..."
"Chuvisca","4305447","-30.75039999999","-51.97370000000","...","...","...","...","...","...","...","...","...","...","..."
"Cidreira","4305454","-30.16039999999","-50.23380000000","0","8","4","3","2","0","1","4","5","...","..."
"Ciríaco","4305504","-28.34189999999","-51.87409999999","...","...","...","...","...","...","...","...","...","...","..."
"Colinas","4305587","-29.38149999999","-51.85260000000","...","...","...","...","...","...","...","...","...","...","..."
"Colorado","4305603","-28.5258","-52.99280000000","...","...","...","...","...","...","...","...","...","...","..."
"Condor","4305702","-28.2075","-53.49049999999","...","...","...","...","...","...","...","...","...","...","..."
"Constantina","4305801","-27.73199999999","-52.9938","...","...","...","...","...","...","...","...","...","...","..."
"Coqueiro Baixo","4305835","-29.1722","-52.0989","...","...","...","...","...","...","...","...","...","...","..."
"Coqueiros do Sul","4305850","-28.11939999999","-52.78419999999","...","...","...","...","...","...","...","...","...","...","..."
"Coronel Barros","4305871","-28.39219999999","-54.06860000000","...","...","...","...","...","...","...","...","...","...","..."
"Coronel Bicaco","4305900","-27.7197","-53.70219999999","...","...","...","...","...","...","...","...","...","...","..."
"Coronel Pilar","4305934","-29.2684","-51.68789999999","...","...","...","...","...","...","...","...","...","...","..."
"Cotiporã","4305959","-28.98910000000","-51.69709999999","...","...","...","...","...","...","...","...","...","...","..."
"Coxilha","4305975","-28.128","-52.30230000000","...","...","...","...","...","...","...","...","...","...","..."
"Crissiumal","4306007","-27.4999","-54.09940000000","...","...","...","...","...","...","...","...","...","...","..."
